DistributorID,DistributorName,City,ContactPerson,Type,Phone,Email,LicenseNumber
D00001,Dist1_Hyderabad,Hyderabad,Mr./Ms. Iyer,Clinic,+91-7544582397,dist1_hyderabad@pharma.com,LIC143922
D00002,Dist2_Indore,Indore,Mr./Ms. Iyer,Wholesaler,+91-7823864509,dist2_indore@pharma.com,LIC661858
D00003,Dist3_Pune,Pune,Mr./Ms. Patel,Wholesaler,+91-7434065131,dist3_pune@pharma.com,LIC502257
D00004,Dist4_Kochi,Kochi,Mr./Ms. Patel,Hospital,+91-7600037424,dist4_kochi@pharma.com,LIC554792
D00005,Dist5_Pune,Pune,Mr./Ms. Reddy,Wholesaler,+91-7260714707,dist5_pune@pharma.com,LIC763594
D00006,Dist6_Kolkata,Kolkata,Mr./Ms. Singh,Wholesaler,+91-7323007163,dist6_kolkata@pharma.com,LIC236865
D00007,Dist7_Bangalore,Bangalore,Mr./Ms. Patel,Clinic,+91-8998687955,dist7_bangalore@pharma.com,LIC124587
D00008,Dist8_Mumbai,Mumbai,Mr./Ms. Singh,Hospital,+91-9535628567,dist8_mumbai@pharma.com,LIC908483
D00009,Dist9_Hyderabad,Hyderabad,Mr./Ms. Kumar,Wholesaler,+91-9594655293,dist9_hyderabad@pharma.com,LIC336816
D00010,Dist10_Hyderabad,Hyderabad,Mr./Ms. Kumar,Retailer,+91-8612117489,dist10_hyderabad@pharma.com,LIC995820
D00011,Dist11_Bhopal,Bhopal,Mr./Ms. Gupta,Hospital,+91-9495938578,dist11_bhopal@pharma.com,LIC240354
D00012,Dist12_Kochi,Kochi,Mr./Ms. Singh,Clinic,+91-8774551173,dist12_kochi@pharma.com,LIC997560
D00013,Dist13_Patna,Patna,Mr./Ms. Sharma,Wholesaler,+91-9513342715,dist13_patna@pharma.com,LIC605043
D00014,Dist14_Chandigarh,Chandigarh,Mr./Ms. Mehta,Hospital,+91-8848813854,dist14_chandigarh@pharma.com,LIC951200
D00015,Dist15_Chandigarh,Chandigarh,Mr./Ms. Kumar,Retailer,+91-7462419042,dist15_chandigarh@pharma.com,LIC796490
D00016,Dist16_Indore,Indore,Mr./Ms. Kumar,Retailer,+91-9495385006,dist16_indore@pharma.com,LIC323197
D00017,Dist17_Jaipur,Jaipur,Mr./Ms. Singh,Retailer,+91-7947295889,dist17_jaipur@pharma.com,LIC873472
D00018,Dist18_Indore,Indore,Mr./Ms. Iyer,Clinic,+91-7030724528,dist18_indore@pharma.com,LIC302049
D00019,Dist19_Bangalore,Bangalore,Mr./Ms. Gupta,Wholesaler,+91-8463558177,dist19_bangalore@pharma.com,LIC827792
D00020,Dist20_Kolkata,Kolkata,Mr./Ms. Patel,Retailer,+91-9358150040,dist20_kolkata@pharma.com,LIC326085
D00021,Dist21_Kolkata,Kolkata,Mr./Ms. Reddy,Hospital,+91-9588789410,dist21_kolkata@pharma.com,LIC257588
