InventoryID,ProductID,BatchNo,StockLevel,ReorderLevel,ManufacturingDate,ExpiryDate,PlantLocation,WarehouseType,UnitCost
I000001,P02552,B02747,312,63,2023-08-24,2026-05-09,Mumbai,Secondary,6.04
I000002,P08617,B00940,294,77,2023-09-06,2025-11-22,Bangalore,Secondary,1.4
I000003,P06887,B01719,50,63,2023-11-25,2025-04-19,Chennai,Transit,5.12
I000004,P01752,B00651,3,72,2023-09-17,2025-07-18,Chennai,Transit,3.51
I000005,P02659,B03870,895,121,2023-08-09,2025-09-27,Kolkata,Secondary,0.34
I000006,P04606,B02978,272,88,2023-01-27,2024-02-12,Bangalore,Main,3.49
I000007,P03939,B01963,104,90,2023-05-31,2026-02-02,Ahmedabad,Secondary,6.23
I000008,P01056,B03441,331,50,2023-01-01,2024-03-05,Mumbai,Secondary,7.47
I000009,P08598,B04754,201,65,2023-02-22,2025-06-15,Bangalore,Secondary,1.88
I000010,P04176,B00637,682,162,2023-07-13,2025-06-30,Pune,Secondary,8.97
I000011,P09284,B00799,464,78,2023-05-19,2024-11-28,Kolkata,Transit,4.23
I000012,P09895,B02922,531,70,2023-09-22,2025-10-20,Hyderabad,Main,4.77
I000013,P02582,B01808,630,199,2023-08-21,2026-05-25,Pune,Main,7.9
I000014,P02462,B04278,155,152,2023-07-29,2025-10-31,Bangalore,Main,0.64
I000015,P08187,B00839,338,161,2023-06-25,2024-09-16,Mumbai,Transit,5.06
I000016,P03620,B02899,768,141,2023-05-02,2026-04-05,Hyderabad,Main,9.98
I000017,P00174,B01235,650,113,2023-06-27,2026-06-10,Delhi,Secondary,0.86
I000018,P04623,B04039,726,173,2023-06-28,2026-03-29,Chennai,Main,1.6
I000019,P09491,B01682,795,88,2023-02-07,2025-01-15,Mumbai,Transit,4.0
I000020,P05208,B04338,705,114,2023-05-23,2024-12-07,Chennai,Main,9.44
I000021,P02857,B01054,694,191,2023-11-08,2025-05-01,Chennai,Secondary,3.87
I000022,P05445,B01941,568,126,2023-06-22,2024-08-19,Hyderabad,Transit,8.5
I000023,P04809,B04177,689,177,2023-04-02,2024-09-21,Kolkata,Transit,9.88
I000024,P07946,B00141,184,144,2023-08-02,2025-12-29,Mumbai,Secondary,3.43
I000025,P06190,B02147,530,105,2023-02-18,2025-10-30,Hyderabad,Main,2.86
I000026,P08636,B03725,746,89,2023-10-27,2025-11-14,Hyderabad,Main,9.78
I000027,P07443,B01224,153,141,2023-04-29,2025-05-16,Delhi,Secondary,5.58
I000028,P03762,B01373,894,122,2023-11-10,2024-12-06,Ahmedabad,Transit,7.94
I000029,P08835,B00307,69,119,2023-02-15,2025-07-11,Chennai,Secondary,5.87
I000030,P01344,B00952,345,114,2023-05-28,2024-10-17,Bangalore,Secondary,5.33
I000031,P03998,B03083,878,102,2023-05-31,2024-08-18,Mumbai,Transit,4.75
I000032,P04588,B03330,46,72,2023-04-21,2024-06-16,Bangalore,Main,9.53
I000033,P01916,B00456,60,69,2023-05-12,2024-05-21,Chennai,Main,6.2
I000034,P07357,B01635,863,171,2023-01-06,2024-12-21,Mumbai,Transit,9.7
I000035,P02347,B02814,827,52,2023-05-26,2026-03-31,Hyderabad,Secondary,8.1
I000036,P05654,B03177,791,185,2023-12-03,2026-01-25,Mumbai,Secondary,5.23
I000037,P01577,B02903,346,197,2023-01-21,2025-09-17,Chennai,Secondary,0.88
I000038,P09635,B03070,943,52,2023-12-24,2026-04-13,Chennai,Transit,6.17
I000039,P03967,B02767,12,69,2023-06-18,2024-12-16,Chennai,Secondary,4.68
I000040,P01472,B02983,909,162,2023-01-30,2026-01-17,Delhi,Main,5.45
I000041,P04676,B04079,986,150,2023-03-20,2026-03-15,Hyderabad,Secondary,2.75
I000042,P02302,B01751,629,75,2023-09-19,2026-06-30,Delhi,Transit,9.38
I000043,P04322,B03375,879,188,2023-09-17,2024-11-21,Mumbai,Secondary,9.62
I000044,P00074,B01818,528,112,2023-11-03,2025-05-16,Delhi,Transit,7.3
I000045,P02856,B02318,883,144,2023-06-08,2024-12-13,Mumbai,Main,2.26
I000046,P09989,B03867,282,176,2023-01-06,2024-05-18,Hyderabad,Main,7.23
I000047,P08132,B04284,665,200,2023-11-17,2026-02-05,Kolkata,Main,0.95
I000048,P01799,B01306,37,54,2023-07-04,2024-08-26,Bangalore,Main,7.1
I000049,P01660,B04450,856,116,2023-06-12,2025-04-15,Bangalore,Main,8.7
I000050,P09643,B00801,887,200,2023-09-13,2024-09-22,Mumbai,Secondary,7.18
I000051,P03365,B04934,347,91,2023-10-07,2026-08-07,Pune,Secondary,1.35
I000052,P04537,B02983,385,114,2023-08-18,2025-07-30,Chennai,Main,2.27
I000053,P06504,B03005,807,60,2023-12-20,2025-09-09,Hyderabad,Transit,4.87
I000054,P01938,B02170,578,63,2023-01-04,2025-05-14,Hyderabad,Transit,4.86
I000055,P01269,B02144,61,174,2023-09-06,2026-03-20,Ahmedabad,Transit,8.5
I000056,P05470,B03582,663,63,2023-10-01,2025-10-08,Pune,Main,5.08
I000057,P02736,B04506,975,137,2023-04-06,2024-06-12,Kolkata,Secondary,2.68
I000058,P01391,B03584,412,136,2023-02-13,2024-05-24,Chennai,Main,7.57
I000059,P06948,B03551,995,140,2023-05-24,2024-11-22,Mumbai,Main,4.65
I000060,P06341,B00231,538,123,2023-04-17,2024-09-16,Pune,Transit,8.86
I000061,P07914,B00233,624,89,2023-11-05,2025-02-14,Kolkata,Transit,0.94
I000062,P09720,B03218,465,63,2023-11-15,2026-08-03,Bangalore,Main,1.67
I000063,P00635,B03703,11,109,2023-02-07,2024-04-07,Hyderabad,Transit,2.34
I000064,P06954,B01340,172,98,2023-10-11,2026-05-31,Ahmedabad,Transit,1.84
I000065,P08619,B04737,143,164,2023-07-20,2026-01-18,Chennai,Secondary,0.79
I000066,P04070,B00801,690,169,2023-09-28,2025-12-23,Ahmedabad,Transit,4.45
I000067,P07024,B01096,142,184,2023-01-09,2024-10-07,Pune,Secondary,7.78
I000068,P08517,B03906,309,167,2023-01-16,2024-05-17,Pune,Transit,4.78
I000069,P00732,B00362,730,155,2023-01-24,2024-06-19,Pune,Main,5.3
I000070,P05179,B00085,871,135,2023-02-27,2024-04-25,Bangalore,Transit,9.97
I000071,P07912,B04243,359,140,2023-12-05,2025-01-24,Ahmedabad,Transit,9.48
I000072,P08812,B03359,70,52,2023-10-04,2025-11-17,Pune,Secondary,9.08
I000073,P09675,B03463,20,54,2023-11-04,2025-01-07,Kolkata,Main,2.93
I000074,P07058,B00670,703,183,2023-03-07,2024-10-19,Ahmedabad,Secondary,9.92
I000075,P07114,B03921,372,190,2023-10-27,2026-02-10,Bangalore,Transit,9.63
I000076,P00480,B01411,828,75,2023-05-24,2025-10-06,Pune,Main,2.0
I000077,P04283,B03203,107,180,2023-11-02,2025-08-14,Chennai,Transit,9.28
I000078,P09718,B02439,27,125,2023-08-01,2025-10-21,Ahmedabad,Main,2.28
I000079,P01866,B02235,354,127,2023-05-31,2025-11-20,Ahmedabad,Transit,4.37
I000080,P07689,B02204,997,116,2023-03-31,2025-08-08,Hyderabad,Main,3.39
I000081,P00716,B02908,151,97,2023-10-13,2026-07-09,Delhi,Secondary,1.03
I000082,P01436,B04254,950,117,2023-07-10,2026-04-30,Pune,Secondary,4.9
I000083,P05612,B04133,349,98,2023-12-23,2026-07-13,Chennai,Secondary,9.63
I000084,P02652,B02076,338,152,2023-08-22,2025-10-15,Kolkata,Main,5.49
I000085,P03696,B04439,738,143,2023-08-08,2024-10-13,Chennai,Secondary,1.32
I000086,P00073,B01998,588,125,2023-08-31,2025-01-27,Mumbai,Transit,8.72
I000087,P07300,B01635,436,113,2023-02-24,2026-01-12,Hyderabad,Main,1.4
I000088,P00837,B03163,133,104,2023-05-26,2024-06-18,Delhi,Secondary,4.37
I000089,P08255,B02028,176,104,2023-04-08,2025-02-21,Hyderabad,Main,2.83
I000090,P03097,B04067,635,167,2023-03-17,2025-05-11,Mumbai,Main,4.26
I000091,P00151,B00088,850,146,2023-12-28,2026-04-18,Pune,Secondary,4.53
I000092,P09760,B03319,998,94,2023-08-21,2026-03-23,Mumbai,Main,7.59
I000093,P00666,B02439,270,64,2023-01-25,2025-04-30,Ahmedabad,Transit,4.03
I000094,P05829,B00618,598,101,2023-09-26,2025-06-21,Kolkata,Transit,4.88
I000095,P06845,B01970,934,86,2023-02-26,2025-01-04,Chennai,Transit,1.01
I000096,P05654,B04825,38,141,2023-06-13,2025-09-01,Mumbai,Transit,5.94
I000097,P03129,B01406,164,110,2023-07-18,2024-12-24,Kolkata,Main,5.35
