SalesID,Date,ProductID,DistributorID,Region,UnitsSold,InvoiceAmount,DiscountPercent,TaxPercent,PaymentMethod
S000001,2024-01-31,P01980,D02773,Central,441,2972.34,2.66,12.08,Cheque
S000002,2024-10-22,P05452,D00999,East,378,1992.06,5.55,17.03,Online
S000003,2024-09-24,P07071,D02573,East,275,3465.0,6.45,8.3,Credit
S000004,2024-04-24,P02657,D00773,East,249,2455.14,11.84,8.3,Online
S000005,2024-12-04,P06898,D00987,West,497,675.92,13.29,11.24,Online
S000006,2024-06-29,P01539,D04365,East,33,100.98,14.47,12.85,Cheque
S000007,2024-09-18,P05018,D08255,North,463,5384.69,6.85,6.07,Cheque
S000008,2024-12-10,P04057,D09932,Central,369,1557.18,6.56,5.97,Cheque
S000009,2024-07-28,P02356,D09538,Central,282,1119.54,10.74,5.31,Cheque
S000010,2024-02-14,P07344,D04069,West,20,26.2,6.13,10.94,Online
S000011,2024-12-12,P07869,D04527,South,213,785.97,14.48,8.37,Cheque
S000012,2024-07-02,P03434,D01189,South,247,1674.66,13.41,8.35,Cash
S000013,2024-08-03,P06477,D02235,South,118,70.8,12.63,8.86,Cash
S000014,2024-07-02,P03133,D08253,Central,277,1257.58,4.61,8.41,Cash
S000015,2024-05-25,P01983,D04208,East,221,1045.33,1.16,7.35,Online
S000016,2024-12-15,P06541,D02190,West,306,1040.4,7.66,13.71,Online
S000017,2024-09-18,P08145,D07212,North,141,1738.53,12.32,17.27,Credit
S000018,2024-05-11,P02361,D04263,South,91,131.04,4.36,17.97,Credit
S000019,2024-09-12,P00070,D06588,Central,273,966.42,4.79,7.04,Online
S000020,2024-01-14,P03135,D03089,Central,283,2903.58,4.04,13.85,Cash
S000021,2024-04-03,P00693,D08581,East,120,974.4,9.55,16.44,Cash
S000022,2024-10-08,P02604,D00066,Central,219,424.86,6.61,11.78,Cheque
S000023,2024-12-02,P05076,D07961,North,278,1537.34,2.76,10.71,Online
S000024,2024-07-22,P03264,D01537,South,348,487.2,13.85,9.42,Online
S000025,2024-07-23,P02172,D06437,North,89,1080.46,12.93,8.79,Credit
S000026,2024-02-04,P01451,D02361,South,115,891.25,8.84,5.72,Cash
S000027,2024-11-05,P03214,D02665,South,299,1070.42,7.93,12.98,Credit
S000028,2024-06-11,P00991,D01234,East,237,2844.0,1.8,14.12,Online
S000029,2024-12-25,P00768,D04789,North,86,681.12,13.74,10.55,Cash
S000030,2024-03-09,P04478,D04273,East,309,1931.25,4.75,14.12,Cheque
S000031,2024-01-13,P07154,D02326,East,424,5469.6,1.95,7.31,Online
S000032,2024-07-31,P04923,D08354,East,171,528.39,8.04,10.96,Cash
S000033,2024-11-22,P06374,D00159,South,215,2253.2,8.47,16.63,Credit
S000034,2024-11-08,P09086,D05578,North,315,3118.5,8.82,7.09,Online
S000035,2024-08-11,P07510,D09039,West,257,963.75,14.78,7.43,Online
S000036,2024-10-19,P06858,D07197,South,181,472.41,6.6,7.46,Credit
S000037,2024-08-22,P04324,D06401,West,163,813.37,7.53,13.37,Cash
S000038,2024-07-08,P06963,D04518,East,135,608.85,1.08,10.43,Credit
S000039,2024-02-27,P02655,D07739,North,252,1635.48,9.29,13.29,Online
S000040,2024-02-01,P07397,D04916,South,214,1797.6,7.1,5.58,Cash
S000041,2024-08-06,P07122,D00029,North,369,929.88,10.07,6.82,Credit
S000042,2024-07-16,P03529,D06732,West,381,3916.68,4.92,9.59,Credit
S000043,2024-07-26,P06621,D05823,Central,243,663.39,11.41,6.94,Cheque
S000044,2024-01-03,P07637,D01589,West,351,4145.31,11.45,9.57,Online
S000045,2024-10-23,P05595,D09258,East,46,464.6,9.48,13.94,Cheque
S000046,2024-09-11,P08494,D01381,West,423,1180.17,3.28,15.03,Cheque
S000047,2024-04-17,P07680,D09828,South,63,603.54,13.52,17.18,Cash
S000048,2024-04-06,P09354,D03763,West,75,873.75,1.76,9.88,Cash
S000049,2024-06-16,P02796,D03730,South,15,13.5,6.16,6.65,Credit
S000050,2024-02-05,P01612,D03623,South,52,358.28,0.75,12.62,Credit
S000051,2024-07-20,P02396,D00488,West,205,799.5,1.8,11.23,Cheque
S000052,2024-12-01,P01576,D00777,East,252,231.84,7.08,13.25,Cash
S000053,2024-02-06,P01823,D06011,North,122,1140.7,4.88,7.0,Cash
S000054,2024-02-10,P03108,D02933,South,108,492.48,7.2,15.14,Cash
S000055,2024-05-19,P02349,D09294,Central,81,219.51,1.59,5.32,Credit
S000056,2024-02-25,P04443,D02192,East,49,287.14,6.19,16.81,Online
S000057,2024-02-27,P02013,D06772,East,317,3328.5,10.85,8.01,Credit
S000058,2024-11-27,P08820,D06235,South,81,128.79,11.35,9.22,Cheque
S000059,2024-12-22,P05153,D08900,Central,229,2594.57,10.45,16.47,Cash
S000060,2024-10-27,P07496,D02139,West,436,867.64,12.25,5.29,Cheque
S000061,2024-10-15,P09757,D02369,Central,390,3116.1,4.49,6.71,Cash
S000062,2024-04-05,P06745,D08050,North,71,285.42,6.45,13.89,Online
S000063,2024-07-28,P07614,D08290,Central,178,1731.94,0.16,13.69,Cash
S000064,2024-09-30,P07706,D04570,South,224,2607.36,13.75,15.76,Cheque
S000065,2024-04-17,P05773,D05747,Central,349,3507.45,1.71,11.88,Cash
S000066,2024-02-03,P01048,D09072,South,235,150.4,12.06,17.94,Cheque
